Name,Rider Number,Team Name,Time Hour,Time Minutes,Time Seconds
P. ROGLIC,61,RED BULL - BORA - HANSGROHE,4,26,49
L. VAN EETVELT,91,LOTTO DSTNY,4,26,49
J. ALMEIDA,11,UAE TEAM EMIRATES,4,26,49
E. MAS,121,MOVISTAR TEAM,4,26,49
F. GALL,56,DECATHLON AG2R LA MONDIALE TEAM,4,26,49
M. RICCITELLO,85,ISRAEL - PREMIER TECH,4,26,49
M. LANDA,31,T-REX – Quick-Step,4,26,49
A. TIBERI,131,BAHRAIN VICTORIOUS,4,27,7
G. BENNETT,82,ISRAEL - PREMIER TECH,4,27,17
P. SIVAKOV,14,UAE TEAM EMIRATES,4,27,17
S. KUSS,1,TEAM VISMA | LEASE A BIKE,4,27,17
A. VLASOV,68,RED BULL - BORA - HANSGROHE,4,27,27
L. FORTUNATO,191,ASTANA QAZAQSTAN TEAM,4,27,27
A. KRON,94,LOTTO DSTNY,4,27,29
D. GAUDU,101,GROUPAMA-FDJ,4,27,29
M. SKJELMOSE,41,LIDL-TREK,4,27,32
J. HAIG,134,BAHRAIN VICTORIOUS,4,27,32
E. RUBIO REYES,127,MOVISTAR TEAM,4,27,32
C. RODRIGUEZ,151,ARKEA-B&B HOTELS,4,27,40
I. DEL TORO ROMERO,13,UAE TEAM EMIRATES,4,27,40
C. RODRIGUEZ,26,INEOS GRENADIERS,4,27,40
B. MCNULTY,17,UAE TEAM EMIRATES,4,27,46
B. O'CONNOR,51,DECATHLON AG2R LA MONDIALE TEAM,4,28,0
R. TAARAMÄE,168,INTERMARCHÉ - WANTY,4,28,4
R. CARAPAZ,111,EF EDUCATION - EASYPOST,4,28,18
A. YATES,16,UAE TEAM EMIRATES,4,28,18
F. LIPOWITZ,66,RED BULL - BORA - HANSGROHE,4,28,25
C. BERTHET,53,DECATHLON AG2R LA MONDIALE TEAM,4,28,25
C. UIJTDEBROEKS,5,TEAM VISMA | LEASE A BIKE,4,28,27
R. ROCHAS,107,GROUPAMA-FDJ,4,28,29
H. TEJADA,196,ASTANA QAZAQSTAN TEAM,4,28,33
